service,n_es_hotspots,n_overlap,pct_overlap,driver
Sed_Ret_Ratio,58025,27072,46.65575183110728,Forest_Loss
Nature_Access,75387,32174,42.67844588589544,Crop_Exp
Sed_Ret_Ratio,58025,24175,41.66307626023266,Crop_Exp
Sed_export,76309,29779,39.024230431534946,Forest_Loss
N_export,76309,26713,35.0063557378553,Forest_Loss
N_export,76309,26071,34.16503951041162,Crop_Exp
Sed_export,76309,22238,29.142040912605328,Crop_Exp
Nature_Access,75387,20533,27.23679148924881,Forest_Loss
Pollination,76309,17739,23.24627501343223,Forest_Loss
Pollination,76309,16118,21.122017062207604,Crop_Exp
N_Ret_Ratio,57140,8632,15.10675533776689,Forest_Loss
N_Ret_Ratio,57140,7128,12.47462373118656,Crop_Exp
C_Risk,4243,274,6.4576950271034645,Forest_Loss
C_Risk_Red_Ratio,4242,249,5.86987270155587,Forest_Loss
C_Risk,4243,174,4.100872024510959,Crop_Exp
C_Risk_Red_Ratio,4242,165,3.889674681753889,Crop_Exp
